date_key,full_date,y,m,d,day_suffix,year_month,wkd,wkd_name,month_name,q,year_quarter,day_year,w,iso_w,week_month,is_weekend,is_weekday,previous_weekday,next_weekday,is_holiday,holiday_name,is_workday,workday_id,workday_date,workday_number,pwd,nwd,first_workday_in_month,last_workday_in_month,first_day_year,first_day_quarter,first_day_month,first_day_week,last_day_year,last_day_quarter,last_day_month,last_day_week,previous_day,next_day,previous_year_month,next_year_month,previous_quarter,next_quarter,previous_year,next_year,is_today,is_report_day,is_current_week,is_current_month,is_current_quarter,is_current_year,created
20100101,2010-01-01,2010,1,1,st,2010-01,4,Friday,January,1,2010-Q1,1,1,53,1,0,1,2009-12-31,2010-01-04,1,Restoration Day of the Independent Czech State,0,1,2010-01-04,1,2009-12-31,2010-01-05,2010-01-04,2010-01-29,2010-01-01,2010-01-01,2010-01-01,2010-01-01,2010-12-31,2010-03-31,2010-01-31,2010-01-03,2009-12-31,2010-01-02,2009-12,2010-02,4,2,2009,2011,0,0,0,0,0,0,2025-04-16 11:40:18.743739
20100102,2010-01-02,2010,1,2,nd,2010-01,5,Saturday,January,1,2010-Q1,2,1,53,1,1,0,2010-01-01,2010-01-04,0,,0,1,2010-01-04,1,2009-12-31,2010-01-05,2010-01-04,2010-01-29,2010-01-01,2010-01-01,2010-01-01,2010-01-01,2010-12-31,2010-03-31,2010-01-31,2010-01-03,2010-01-01,2010-01-03,2009-12,2010-02,4,2,2009,2011,0,0,0,0,0,0,2025-04-16 11:40:18.743739
20100103,2010-01-03,2010,1,3,rd,2010-01,6,Sunday,January,1,2010-Q1,3,1,53,1,1,0,2010-01-01,2010-01-04,0,,0,1,2010-01-04,1,2009-12-31,2010-01-05,2010-01-04,2010-01-29,2010-01-01,2010-01-01,2010-01-01,2010-01-01,2010-12-31,2010-03-31,2010-01-31,2010-01-03,2010-01-02,2010-01-04,2009-12,2010-02,4,2,2009,2011,0,0,0,0,0,0,2025-04-16 11:40:18.743739
20100104,2010-01-04,2010,1,4,th,2010-01,0,Monday,January,1,2010-Q1,4,2,1,2,0,1,2010-01-01,2010-01-05,0,,1,1,2010-01-04,1,2009-12-31,2010-01-05,2010-01-04,2010-01-29,2010-01-01,2010-01-01,2010-01-01,2010-01-04,2010-12-31,2010-03-31,2010-01-31,2010-01-10,2010-01-03,2010-01-05,2009-12,2010-02,4,2,2009,2011,0,0,0,0,0,0,2025-04-16 11:40:18.743739
20100105,2010-01-05,2010,1,5,th,2010-01,1,Tuesday,January,1,2010-Q1,5,2,1,2,0,1,2010-01-04,2010-01-06,0,,1,2,2010-01-05,2,2010-01-04,2010-01-06,2010-01-04,2010-01-29,2010-01-01,2010-01-01,2010-01-01,2010-01-04,2010-12-31,2010-03-31,2010-01-31,2010-01-10,2010-01-04,2010-01-06,2009-12,2010-02,4,2,2009,2011,0,0,0,0,0,0,2025-04-16 11:40:18.743739
20100106,2010-01-06,2010,1,6,th,2010-01,2,Wednesday,January,1,2010-Q1,6,2,1,2,0,1,2010-01-05,2010-01-07,0,,1,3,2010-01-06,3,2010-01-05,2010-01-07,2010-01-04,2010-01-29,2010-01-01,2010-01-01,2010-01-01,2010-01-04,2010-12-31,2010-03-31,2010-01-31,2010-01-10,2010-01-05,2010-01-07,2009-12,2010-02,4,2,2009,2011,0,0,0,0,0,0,2025-04-16 11:40:18.743739
20100107,2010-01-07,2010,1,7,th,2010-01,3,Thursday,January,1,2010-Q1,7,2,1,2,0,1,2010-01-06,2010-01-08,0,,1,4,2010-01-07,4,2010-01-06,2010-01-08,2010-01-04,2010-01-29,2010-01-01,2010-01-01,2010-01-01,2010-01-04,2010-12-31,2010-03-31,2010-01-31,2010-01-10,2010-01-06,2010-01-08,2009-12,2010-02,4,2,2009,2011,0,0,0,0,0,0,2025-04-16 11:40:18.743739
20100108,2010-01-08,2010,1,8,th,2010-01,4,Friday,January,1,2010-Q1,8,2,1,2,0,1,2010-01-07,2010-01-11,0,,1,5,2010-01-08,5,2010-01-07,2010-01-11,2010-01-04,2010-01-29,2010-01-01,2010-01-01,2010-01-01,2010-01-04,2010-12-31,2010-03-31,2010-01-31,2010-01-10,2010-01-07,2010-01-09,2009-12,2010-02,4,2,2009,2011,0,0,0,0,0,0,2025-04-16 11:40:18.743739
20100109,2010-01-09,2010,1,9,th,2010-01,5,Saturday,January,1,2010-Q1,9,2,1,2,1,0,2010-01-08,2010-01-11,0,,0,5,2010-01-08,5,2010-01-07,2010-01-11,2010-01-04,2010-01-29,2010-01-01,2010-01-01,2010-01-01,2010-01-04,2010-12-31,2010-03-31,2010-01-31,2010-01-10,2010-01-08,2010-01-10,2009-12,2010-02,4,2,2009,2011,0,0,0,0,0,0,2025-04-16 11:40:18.743739
20100110,2010-01-10,2010,1,10,th,2010-01,6,Sunday,January,1,2010-Q1,10,2,1,2,1,0,2010-01-08,2010-01-11,0,,0,5,2010-01-08,5,2010-01-07,2010-01-11,2010-01-04,2010-01-29,2010-01-01,2010-01-01,2010-01-01,2010-01-04,2010-12-31,2010-03-31,2010-01-31,2010-01-10,2010-01-09,2010-01-11,2009-12,2010-02,4,2,2009,2011,0,0,0,0,0,0,2025-04-16 11:40:18.743739
20100111,2010-01-11,2010,1,11,th,2010-01,0,Monday,January,1,2010-Q1,11,3,2,3,0,1,2010-01-08,2010-01-12,0,,1,6,2010-01-11,6,2010-01-08,2010-01-12,2010-01-04,2010-01-29,2010-01-01,2010-01-01,2010-01-01,2010-01-11,2010-12-31,2010-03-31,2010-01-31,2010-01-17,2010-01-10,2010-01-12,2009-12,2010-02,4,2,2009,2011,0,0,0,0,0,0,2025-04-16 11:40:18.743739
20100112,2010-01-12,2010,1,12,th,2010-01,1,Tuesday,January,1,2010-Q1,12,3,2,3,0,1,2010-01-11,2010-01-13,0,,1,7,2010-01-12,7,2010-01-11,2010-01-13,2010-01-04,2010-01-29,2010-01-01,2010-01-01,2010-01-01,2010-01-11,2010-12-31,2010-03-31,2010-01-31,2010-01-17,2010-01-11,2010-01-13,2009-12,2010-02,4,2,2009,2011,0,0,0,0,0,0,2025-04-16 11:40:18.743739
20100113,2010-01-13,2010,1,13,th,2010-01,2,Wednesday,January,1,2010-Q1,13,3,2,3,0,1,2010-01-12,2010-01-14,0,,1,8,2010-01-13,8,2010-01-12,2010-01-14,2010-01-04,2010-01-29,2010-01-01,2010-01-01,2010-01-01,2010-01-11,2010-12-31,2010-03-31,2010-01-31,2010-01-17,2010-01-12,2010-01-14,2009-12,2010-02,4,2,2009,2011,0,0,0,0,0,0,2025-04-16 11:40:18.743739
20100114,2010-01-14,2010,1,14,th,2010-01,3,Thursday,January,1,2010-Q1,14,3,2,3,0,1,2010-01-13,2010-01-15,0,,1,9,2010-01-14,9,2010-01-13,2010-01-15,2010-01-04,2010-01-29,2010-01-01,2010-01-01,2010-01-01,2010-01-11,2010-12-31,2010-03-31,2010-01-31,2010-01-17,2010-01-13,2010-01-15,2009-12,2010-02,4,2,2009,2011,0,0,0,0,0,0,2025-04-16 11:40:18.743739
20100115,2010-01-15,2010,1,15,th,2010-01,4,Friday,January,1,2010-Q1,15,3,2,3,0,1,2010-01-14,2010-01-18,0,,1,10,2010-01-15,10,2010-01-14,2010-01-18,2010-01-04,2010-01-29,2010-01-01,2010-01-01,2010-01-01,2010-01-11,2010-12-31,2010-03-31,2010-01-31,2010-01-17,2010-01-14,2010-01-16,2009-12,2010-02,4,2,2009,2011,0,0,0,0,0,0,2025-04-16 11:40:18.743739
20100116,2010-01-16,2010,1,16,th,2010-01,5,Saturday,January,1,2010-Q1,16,3,2,3,1,0,2010-01-15,2010-01-18,0,,0,10,2010-01-15,10,2010-01-14,2010-01-18,2010-01-04,2010-01-29,2010-01-01,2010-01-01,2010-01-01,2010-01-11,2010-12-31,2010-03-31,2010-01-31,2010-01-17,2010-01-15,2010-01-17,2009-12,2010-02,4,2,2009,2011,0,0,0,0,0,0,2025-04-16 11:40:18.743739
20100117,2010-01-17,2010,1,17,th,2010-01,6,Sunday,January,1,2010-Q1,17,3,2,3,1,0,2010-01-15,2010-01-18,0,,0,10,2010-01-15,10,2010-01-14,2010-01-18,2010-01-04,2010-01-29,2010-01-01,2010-01-01,2010-01-01,2010-01-11,2010-12-31,2010-03-31,2010-01-31,2010-01-17,2010-01-16,2010-01-18,2009-12,2010-02,4,2,2009,2011,0,0,0,0,0,0,2025-04-16 11:40:18.743739
